sub,condition,ori_a,ori_b,ori_c,ori_to_report_convt,ori_resp,angle_diff,ori_to_report_de_convt,ori_resp_de,angle_diff_de,loc_a,loc_b,loc_c,cue_probe,block,allerror,allerror_de,pmi_ori,imi_ori,c_ori,abs_angle_diff,abs_angle_diff_de,badtrial,debadtrial
1,1,10,54,159,80,70.80359582460301,-9.196404175396992,-63,-55.560616917497995,7.439383082502005,3,1,1,1,1,-9.196404175396992,7.439383082502005,80.0,36.0,-69.0,9.196404175396992,7.439383082502005,,
1,1,17,126,156,73,75.888275241871,2.888275241871,18,21.618474126479203,3.618474126479203,3,1,1,1,1,2.888275241871,3.618474126479203,73.0,-36.0,-66.0,2.888275241871,3.618474126479203,,
1,1,165,132,168,-75,-76.302187881547,-1.302187881546999,84,86.3286456019198,2.3286456019198027,1,4,4,1,1,-1.302187881546999,2.3286456019198027,-75.0,-42.0,-78.0,1.302187881546999,2.3286456019198027,,
1,1,173,126,21,-83,83.5952845242447,-13.404715475755296,6,6.403642195623091,0.40364219562309067,5,1,1,1,1,-13.404715475755296,0.40364219562309067,-83.0,-36.0,69.0,13.404715475755296,0.40364219562309067,,
1,1,68,24,169,-79,-72.6958188018143,6.304181198185702,-88,-83.6760358652458,4.323964134754206,2,6,6,3,1,6.304181198185702,4.323964134754206,22.0,66.0,-79.0,6.304181198185702,4.323964134754206,,
1,1,119,57,23,-29,-43.58431866179299,-14.584318661792992,-71,-62.7390960313281,8.260903968671897,3,4,4,1,1,-14.584318661792992,8.260903968671897,-29.0,33.0,67.0,14.584318661792992,8.260903968671897,,
1,1,119,172,114,-29,-44.55414785704599,-15.55414785704599,82,78.25700006553708,-3.7429999344629152,6,1,1,1,1,-15.55414785704599,-3.7429999344629152,-29.0,-82.0,-24.0,15.55414785704599,3.7429999344629152,,
1,1,158,173,94,-4,1.7104057575099887,5.710405757509989,36,39.4754823478538,3.4754823478537986,4,3,3,3,1,5.710405757509989,3.4754823478537986,-68.0,-83.0,-4.0,5.710405757509989,3.4754823478537986,,
1,1,155,122,25,65,64.2957984224536,-0.7042015775463994,63,65.6653711903825,2.6653711903825013,6,5,5,3,1,-0.7042015775463994,2.6653711903825013,-65.0,-32.0,65.0,0.7042015775463994,2.6653711903825013,,
1,1,9,47,46,81,83.61682939115259,2.616829391152592,15,16.6775244882154,1.6775244882154006,4,2,2,1,1,2.616829391152592,1.6775244882154006,81.0,43.0,44.0,2.616829391152592,1.6775244882154006,,
1,1,127,176,112,-22,16.924742748944,38.924742748944,76,78.975798307719,2.9757983077190033,3,1,1,3,1,38.924742748944,2.9757983077190033,-37.0,-86.0,-22.0,38.924742748944,2.9757983077190033,True,
1,1,162,90,148,-58,-69.33012862383,-11.330128623830007,84,85.7920708443576,1.7920708443575961,6,5,5,3,1,-11.330128623830007,1.7920708443575961,-72.0,0.0,-58.0,11.330128623830007,1.7920708443575961,,
1,1,13,167,31,77,70.4183393466942,-6.5816606533058035,-41,-48.058728137681015,-7.058728137681015,4,6,6,1,1,-6.5816606533058035,-7.058728137681015,77.0,-77.0,59.0,6.5816606533058035,7.058728137681015,,
1,1,79,150,60,11,18.9497753873465,7.949775387346499,61,60.7371291419536,-0.26287085804639787,2,1,1,1,1,7.949775387346499,-0.26287085804639787,11.0,-60.0,30.0,7.949775387346499,0.26287085804639787,,
1,1,10,178,157,-67,-56.870208475507,10.129791524493001,-19,-23.467725848204992,-4.467725848204992,5,1,1,3,1,10.129791524493001,-4.467725848204992,80.0,-88.0,-67.0,10.129791524493001,4.467725848204992,,
1,1,14,120,32,76,72.8891703976758,-3.110829602324202,25,25.4287016046874,0.4287016046874008,1,3,3,1,1,-3.110829602324202,0.4287016046874008,76.0,-30.0,58.0,3.110829602324202,0.4287016046874008,,
1,1,162,131,43,47,51.6823953216438,4.682395321643803,78,77.1676406909766,-0.8323593090234027,4,6,6,3,1,4.682395321643803,-0.8323593090234027,-72.0,-41.0,47.0,4.682395321643803,0.8323593090234027,,
1,1,115,91,69,21,34.31433579047601,13.314335790476008,63,64.572374644327,1.5723746443269988,5,6,6,3,1,13.314335790476008,1.5723746443269988,-25.0,-1.0,21.0,13.314335790476008,1.5723746443269988,,
1,1,10,116,65,80,85.95199678396841,5.951996783968411,-71,-69.49542088890499,1.504579111095012,2,5,5,1,1,5.951996783968411,1.504579111095012,80.0,-26.0,25.0,5.951996783968411,1.504579111095012,,
